@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'then Understand that if you have not backed up the development remote, the history will not be preserved, and you won\'t be able to get that back.',good
'This is not a list of strings. This is an array of literals.',good
'Could you add some code to help understand root cause?',good
'A program intended for use exclusively as a daemon ought not to be outputting anything to its , nor, as far as it is within its control, to . Direct output to a log file, or log via syslog.',good
'Thank you so much. You just saved the day. i am able to get the data now. And i assume that in fix we have to send separate request for bid and offer. is that right?',good
'as suggested',good
'are you asking if functions such as this will be added to the standard library?',good
'What do you mean by ?',good
'Though from your example, why are you bothering to ? Just instead and keep it as one data frame.',good
'Possible duplicate of Prolog, X before Y in a List',good
'I like how you have a downvote but no comment on how to improve your solution. That\'s so SO these days.',good
'yes, it seems so xD',good
'Instead of loading full data, load it partially and load only portion that you can view on page.',good
'you\'ll probably have to show a bit of code, but when making cross CC libraries, should be used if not already',good
'Protip make an account and post your actual, working code in full context on Code Review, make the title say what problem your code is solving, explain reviewers what the code is doing and why, and you\'ll get feedback and suggestions about all aspects of the code, including ways to extract methods and parameterize your procedural code.',good
'The in is for data frames. If you want to mutate each data frame in a list you do it the same way you\'d do anything else to each data frame in a list , a for loop, or package.',good
'From Closing the dataset will also unprepare the query. It seems that the preparation of queries have sense only for . Don\'t know why.',good
'They both sound wrong to we. I do not see why a temporary would be made when copy constructing an object with another object of the same type. I also fail to see where assignment comes into the first example.',good
'You have the solution If you have or , I vote for your way I did it in similar fashion when I had to retain a value like this',good
'Maybe try to integrate python script like this one or CC addon at least? Because seems like NodeJS doesn\'t have this functionality.',good
'The launch screen is not optional. It is there, not as a splash screen to show a logo etc, but as a way to give the illusion that your app is opening instantly. Check the apple HIG. So, you can\'t remove it. But you can change it. What is it exactly that you want to do?',good
'There is no right or wrong answer here, it is a matter of opinion. Using an embedded database such as H, is pretty straightforward and lightweight IMO. A third option could be the preferences API.',good
'You haven\'t told us what the error is or included the code that gives it. What help are you expecting us to be able to provide?',good
'In fact, this is the best answer here, hence it narrows down the fact this is a mapping issue.',good
'What is the datatype of Component.Name in your DB. Is it nvarchar?',good
'Your question is very unclear. You said you have error with but did not provide any of its code',good
'Any reason you are using and not for the column?',good
'can you show us the code for the doSomething method?',good
'Test behavior, not implementation. If this is a private inner class, it is an implementation detail. Think about the behavior of the class exposed via its public methods and test those only.',good
'What SQL do you have so far?',good
'is and is',good
'hey, I gave your thought another try and was able to fix it. I forget some brackets in the code. Thanks, it worked like a charm!',good
'Like I said, trying to make move assignment thread safe is conceptually flawed. Something that might be applicable to you would be something similar to the method on the . If you want to use a CAS operation to achieve thread safety, I would ask that as a separate question in SO, otherwise you could just use a and to achieve thread safety, but you will then need to consider thread safety of all internals and possibly your iterators depending on the level of functionality you are trying to implement.',good
'If it\'s under , it\'s -bit. Your -bit Scala requires a -bit Java Runtime.',good
'What toolchain are you using? What is the command line used to build the program? Does it repo if the posted code is simply wrapped in a with initialized appropriately? If not, can you post a MCVE? Can you post a link to the actual data file?',good
'No problem. It\'s just one of those lessons everyone learns where they now start to name variable and controls properly instead of , , , etc. Also a single breakpoint and some debugging would have shown the issue',good
'Please don\'t do that. Mark Matt\'s answer as accepted instead, by clicking the checkmark next to it.',good
'It would make more sense if the signature was and then drop no changing the array.',good
'Please refer to developer.mozilla.orgen-USdocsWebJavaScriptReference for the usage of match. It is used to match a regular expression and returns a boolean value.',good
'Don\'t use a delegate\'s BeginInvoke method to implement threading, a bool is not a synchronization primitive. There are better ways to do this, how to correctly handle this for a BackgroundWorker is covered in this QA.',good
'most likely a z-index issue, something is covering the link',good
'Just use a sieve, and scan the result.',good
'Posting the code in which currently having problems in getting all the combinations for comparison . would help clarify your goalissue.',good
'Fair enough . - start it with redirecting to the bit-bucket',good
'Use an IDE or pick a different text editor.',good
'Many thanks.',good
'I believe you wont need it.',good
'This is a personal repository and not shared with anyone, so no worries there. Sorry to be a bit daft, but I am new to git and I obviously don\'t know the commands well enough. My local repository is in ECodeCode.Website. The local branch is development. The remote repository\'s branch is also development. So would it be ?',good
'What you\'ll want to do is stop event propagation when the or a div containing it is clicked, so it doesn\'t bubble up to the where the body click handler would act on the event and hide the form. Check jquery\'s and',good
'I\'m going to upvote you since you put me exactly where I needed to be. However, in my environment, lookupField.LookupList was a string, specifically the list Title.',good
'is not a valid build system option. It should either be or not present. The items in the array need to be individually surrounded by quotes, and separated by commas. If you set the executable bit on your file, you don\'t need to call it with , you just need to put the name of the file there.',good
'Right, because you\'re calling on a non-static method from the static context in . I would recommend reading up on what means in java.',good
'Looks like a homework.',good
'The operating system won\'t change anything. Java is cross-platform by design. The issue here is that is not the same as notice the curly-ness of your quotes',good
'Sorry guys, yes, it\'s supposed to be -.. Just edited the question. Thanks for pointing that out.',good
'is contravariant not covariant.',good
'Nice hint answer per OP request. UV Quibble Disagree with strings . usually terminated with a byte. In C, strings always end with a null character, else it is not a string.',good
'Interesting, I worked a lot on repeated timers, but few on non-repeated timers. So I\'m not sure if it\'s important in this situation. Just curious, if the timer is initialized, then the tableView is removed from superview somehow, then the timer is fired, would that cause any problem? when the tableView is still in memory or not.',good
'What text editor are you using to type it? Whatever it is, I\'d suggest using something else.',good
'This worked well - thank you! I had to hack up my millisecond value a bit as mine were digits long and the datetime datatype expects three digits. Thank you!!',good
'no, this is perfect. Just what I was looking for. Thank you for breaking in down. I was looking to check if there is text within the div.',good
'Take a look into your http servers error log file. That is where you can actually read what the error is instead of having to guess or ask here.',good
'Yes, because reduce returns an OptionalStreamInteger, not a StreamInteger.',good
'Yes. Just threath them as different models.',good
'It does nothing because you told the function to return if the value passed in is equal to',good
'Actually an will keep its target retained and the run-loop retains the timer, therefore will never be called so long as the timer is active. You will need to call manually at the appropriate time in the object\'s lifecycle. Although in this case OP\'s timer doesn\'t repeat so the target will only be retained until it\'s fired.',good
'I gotta a feeling you\'re not loading the library before trying to use it.',good
'jQuery library correctly linked?',good
'Try adding on the line before, and see what it tells you',good
'Continue the reading and come back to this point later, sure you will understand it then',good
'Add a class to when is clicked is an extremely common question on SO and the answer is pretty much the same for any X and Y. Your X and Y are div and other div . here is a question where X and Y are parent div and div.',good
'How\'d you read through that mess so quickly?',good
'Since Ruby is extremely strict about what\'s false in a logical sense, is never going to happen so you may as well abandon that idea The When in Rome principle applies here. If you\'re doing a mapping operation, express it as such. In other languages you can take advantage of zero being a false value so the simplest expression of your desire does vary considerably depending on constraints.',good
'Your example is not much of one. What explicitly have you tried andor researched?',good
'This is a question and answer site, not a free homework completion service. You need to learn to program yourself, not ask internet strangers to program for you.',good
'It sounds like you might be looking for functionbind but it\'s hard to say for sure without more detail in your question.',good
'What is your specific question?',good
'If you are encountering an issue with your code, you should describe the issue and ask for help, not',good
'Those are variables I used because I don\'t know your branch names, or the location of your remote servers. For me, it could be , for you it could be something else.',good
'The command prints a newline. When is streaming output to a pipe, it is running in mode. See the difference when you run and in terminal and you will see the output is different.',good
'What is your question? If your question is What is the O-Notation of this code then you are not on the right website',good
'Are you closing your connections when you\'re done with them? Sounds like the OS might be running out of network handles. Some code would help diagnose the issue.',good
'is the parameter you sent INTO the function, whereas would RETURN a string array. What do you need returned is a better question?',good
'An equivalent access would be',good
'The answer is a definite yes. It\'s easy to construct such an algorithm. If you want to find one that is already being used for something, that\'s a different matter. You should think about what the numbers could mean means you need to do something for every element of the input set, means some kind of divide and conquer operation, and squared means that you probably need another divide and conquer for every step of the previous one.',good
'Then why did you copy the array? Just forget the whole loop and do and your done. Now will happen in the shared array.',good
'Take baby-steps, by first trying to build in C mode, and fix potential errors and warnings. Then rebuild in C mode, and again fix errors and warnings. Each of these steps are not that big, and C is mostly backward compatible to C which is mostly backward compatible with C. The big breaking things comes in the future C which will remove some deprecated functionality.',good
'I\'m french but isn\'t it \'You are dead\' ? EDIT PURE HTML code but you provided pure JAVASCRIPT code .',good
'That was just a guess. Unless the OP shows how he is running with may be screenshots, we wouldn\'t be able to help',good
'If the view being shown has a model of a single instance of something, how do you expect to derive a list of something? You can turn a basket of apples into individual apples, but you can\'t turn an individual apple into a basket of apples. Also, you can\'t create a instance of an interface, only a class.',good
'can you provide html also?',good
'First of all these are not dictionaries, these are lists of tuples. Secondly what is the expected output? What you\'ve shown us is not a data structure, it\'s a drawing. Thirdly what has a database to do with any of that?',good
'will be the textual representation of the array with square brackets and comma between elements. Is this what you want or do you want to concat all content? For that',good
'Are you running your html off a server or just your local file system. You do not need an IDE for HTMLjavascript development a simple text editor should suffice. If you are running it off your file system place the image in the same folder as your html file.',good
'hm, lets see. columns in the column list and values in the value list. I wonder what the error could mean.',good
'In this case, the single quotes around are optional. It is the same as . So, is also a key.',good
'Possible duplicate of FormsAuthentication LoginUrl',good
'Addendum will also match the beginningend of one line in multiline mode',good
'Related question.',good
'Those are not dictionaries?',good
'Better yet, tell us the value of , and . TIP Instead of do Instead of instantiating in this case, it will return true or false.',good
'Yes, but don\'t do that if you want to keep your co-workers from strangling you. Don\'t do this normally. If someone is working on their code on top of that history, your new branch won\'t be compatible with their code. Read This, This, and This. You don\'t want to mess with remote history. Just add a new commit to undo a previous commit\'s history.',good
'Thanks for answer. I am not focusing much on optimization as it is just a hobby project, So quick and dirty is fine with me.',good
'Only if object is referring other object, this will happen.',good
'While doesn\'t have a method called , is an abstract class with two concrete subclasses, and , both of which do have a method.',good
'Why would two instances of a class have different member functions?',good
'Possible duplicate of Is it possible to listen to a style change event?',good
'may well be right but I am puzzled. If you are running IDLE, the shell window doesn\'t have a run module selection. Please tell us which tool you use and where you do the run.',good
'And I think a general question is fine, but they are usually driven by concrete examples. So far, it appears that the real answer to your question is Don\'t emulate this behavior because you don\'t need it. Presumably that\'s not your ideal end state. The question form encourages you to do so because it\'s useful and would have prevented you from having to deal with most of these comments .',good
'that is not code, that is the information shown when running an interactive session in python. Notice the title says but there is no in the code block provided.',good
'are you in need of ?',good
'If you just used , you wouldn\'t need the and .',good
'I\'ve corrected the casing of in your question based on your comment. There\'s a difference between which doesn\'t exist and . Try to be accurate when presenting code.',good
'Welcome to StackOverflow. Please read and follow the posting guidelines in the help documentation. Minimal, complete, verifiable example applies here. We cannot effectively help you until you post your code and accurately describe the problem. Specifically, what result do you expect? Show us the value of d after this operation the table you give implies a change in d.',good
'What is the time of the internet?',good
'Working with objects',good
'will do. I will edit my post.',good
'because gsub takes two parameters if you want it to return a string - I\'m guessing you want',good
'it is not always question of tradeoff. There must be some way which improves both',good
'More importantly, appending strings exposes your code to sql injection, what if the value of was It\'s a shame we can\'t use parameters for the tablename, but we must at least sanitize the value or verify that such a table exists first.',good
'Could you update your post to include the contents of the \'table\' object?',good
'You probably mean .',good
'The best way is storing the session in DB. For more accuracy, you can monitor the IP as well. So, if user cleared the cookie, you still don\'t allow himher to perform the action',good
'the selected parameter in option specifies that an option should be pre-selected when the page loads.',good
'In first comment i wrote result from . Sorry if it was not clear. Also that I\'ve tried was the finest grain - it took nanoseconds instead of . of a second which I use in my original post.',good
'How would you apply an inline style to a react component without the ternary operator?',good
'Thanks. But not being a C programmer, I wonder if there are limits to that. Corrupting other processes? The OS?',good
'oops yes, typo. Ill fix it sorry',good
'its internally generated I think',good
'What do you mean and replace with needed? You mean per var?',good
'Thanks, it worked!',good
'It is even easier. min and max are from the same dataset. Y is always an IP-Address. Each Ip-Address is guaranteed to have two x values at the same position. So the Pseudocode would be',good
'Not clear to me what you are asking. Composer coexists nicely with bower or npm. You just need a process to copy the files from the bower directory to your web directory. I use a simple gulp file but there are plenty of other ways. Though I suspect you are asking for something completely different.',good
'No, I made new Acceleo project by wizard and change only registerPackages method. I don\'t have a custom factory.',good
'will show the list of autogenerated triggers called for the cascade deletions. Note that performs the operation so if you don\'t want to delete the data then wrap it into the block.',good
'indeed, that\'s the cause',good
'There are no console errors.',good
'I don\'t think sharing the parameter pack from with is going to work. In the case of the associated with your function, it is just , but in the case of a thrust tuple with a single int, the are actually , so we get the following note after your substitution failed message',good
'how do you specify the max zoom ?',good
'Well, one way would be to use range to simulate the colon operation and then just index into cols .',good
'Tried that, model is still coming out the same',good
'Yes, but not necessarily a webpage to make an HTTP request.',good
'But I still wish to do similarity checks for multiple input strings q, q, q etc.',good
'that\'s a bit off, mostly because this code is just a basic function with no data being added to the pdf file, and all of SO code posted becomes CC, so.',good
'Some code would be helpful.',good
'I am able to initialize a numpy zeros matrix. So I do not think that it is related to max numpy array size. The program is consuming a lot of memory while executing loop.',good
'and replace with needed via regex',good
'That is actually a different problem. Now that the language is properly being passed to the page, you will need to check the query string and select the option as selected. This can be done server side or client side.',good
'you\'re calling , you need to clear twice too.',good
'I agree with all of that. But, value-initialization is always strictly better than , period.',good
'Edited the answer from the information given in comments not everyone cares to read the comments. Thanks!',good
'I\'m out of ideas. All I can think of is to cleanrebuild your project without androidbackground and hoping for the best. Good luck!',good
'Your requirement seems rather straightforward. Checkout kwatee disclaimer I am the creator. It may do exactly what you need with a minimal learning curve.',good
'In the first listing, you need listBox.SelectedItem listBox.Itemsi, instead of listBox.SelectedItem item.',good
'I am no category theory expert but AFAIK the name and comes from category theory. is a category with no members, is a category with one member, is a category with two members true false. is inherited from C and it\'s a major hassle for generic code. Typically in Java, C and C you need to handle the case specifically because it\'s an odd type it has no value. is subtly superior as it has one value meaning there\'s no need to for special cases.',good
'That statement is a bit misleading as it comes from Microsoft. ES has nothing to do with Typescript. Typescript has similarities to ES in that it also has a pre-standards module system like how Angular has a pre-standards module system. Now that there is a formal standard, clinging to pre-standards TS modules is foolhardy.',good
'See the code I posted. This is a much more efficient way to copy a value from one spreadsheet to a range in a newly opened file. Not sure what the filtering was doing for you, but you couldn\'t paste a copied range into single cells in a loop anyway. I assume your formulas were just trying to get the number of cells as well.',good
'Yeah, I had a hard time finding it at first to. It\'s not obvious. Heck, honestly, I had a hard time find the Google Developer Console in the first place. I bookmarked it explicitly because I didn\'t want to have to track it down again .',good
'Is there a reason people have to downvote a legit question?',good
'Well I hope it is a record because it will clearly demonstrate the total number of TRIGGER HAPPY IDIOTS who CLEARLY dont want to take the time out to read and understand WHAT is being asked. Really. all you downvoters are complete and absolute dipshits',good
'This is much easier visualstudio.comen-usdocsbuildappsaspnet',good
'MoustafaS, because you asked me I have tried it, but it did not yield the result you expected. The cause of this is that PageInit is executing the assignment too late and PageLoad is executed even later.',good
'First of all provide html with elements. I guess you can use xpath like this . Remember that class is changing, probably button is not always . The second thing - don\'t use autogenerated xpaths like , they won\'t work in week and even you will not know how they should work',good
'where do you get this error, which line?',good
'first off. you have some attribute quote problems in the thing you tried.',good
'Your question lacks too many details to help you which version of JHipster, which type of application monolith, microservice, gateway, what database, how many entities? Which runtime environment embedded tomcat, external server, cloud? At least post your .yo-rc.json file',good
'This parses an avro schema, not a serialized avro document.',good
'I\'m getting another error Column name or number of supplied values does not match table definition -- both tables have all the same columns and the exact same datatypes. What could this mean?',good
'is invalid syntax. Did you mean ?',good
'Please read How to Ask',good
'I haven\'t gotten to the point where there have been any errors. This is really my first time messing with XML and was wanting to know what might be the best way to go about doing this.',good
'show us the json',good
'You don\'t have a real problem, all characters can be represented with bits. Some just need two of them, that will not trip up your code.',good
stackoverflow.comquestions,good
'this is javascript url it looks like javascript f\'\', \'text\', \'\', \'\', \'\', \'text\', \'\', \'\', \'\', \'\', \'text\', \'\',',good
'Can we have MapRoute depend on URL',good
'isn\'t range a generator in python ? In that case it works properly even without next use xrange in python',good
'I\'ve tried your suggestion. I get Error for both new columns I added the last day into the select as well. Would this happen if there was no data in the time period represented in the AGGREGATE set? These Error results have been driving me crazy since I started looking at SSAS because I don\'t know what to do to debug them.',good
stackoverflow.coma,good
'You could place instead of to avoid the issue mentioned.',good
'God I\'m blind. Thank you.',good
